         24650899 function calls (24431755 primitive calls) in 35.117 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.001    0.000    0.008    0.000 decomp_qr.py:28(qr)
     2582    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      244    0.001    0.000    0.109    0.000 threading.py:264(wait)
      252    0.001    0.000    0.021    0.000 std.py:1086(__repr__)
     4198    0.001    0.000    0.001    0.000 linear_util.py:83(store)
     2098    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
        1    0.001    0.001    0.010    0.010 xla.py:298(jaxpr_subcomp)
     2100    0.001    0.000    0.002    0.000 linear_util.py:122(__name__)
      252    0.001    0.000    0.140    0.001 std.py:297(fp_write)
      700    0.001    0.000    0.002    0.000 blas.py:372(getter)
      100    0.001    0.000    0.003    0.000 numeric.py:2244(within_tol)
      252    0.001    0.000    0.164    0.001 std.py:1444(display)
  153/147    0.001    0.000    0.018    0.000 partial_eval.py:144(default_process_primitive)
      300    0.001    0.000    0.009    0.000 lax_numpy.py:2091(eye)
      253    0.001    0.000    0.110    0.000 threading.py:534(wait)
      200    0.001    0.000    0.005    0.000 lazy.py:145(eval_lexpr)
       40    0.001    0.000    0.001    0.000 {built-in method jaxlib.xla_extension.ops.ConstantLiteral}
      100    0.001    0.000    0.043    0.000 linalg.py:217(inv)
      251    0.001    0.000    0.166    0.001 std.py:1314(refresh)
      400    0.001    0.000    0.002    0.000 _ufunc_config.py:39(seterr)
       36    0.001    0.000    0.006    0.000 lax.py:2459(_dot_general_shape_rule)
     1001    0.001    0.000    0.017    0.000 <__array_function__ internals>:2(sum)
      500    0.001    0.000    0.001    0.000 shape_base.py:83(atleast_2d)
      503    0.001    0.000    0.002    0.000 std.py:227(format_interval)
      252    0.001    0.000    0.001    0.000 std.py:154(__format__)
      100    0.001    0.000    0.001    0.000 function_base.py:1141(diff)
       10    0.001    0.000    0.001    0.000 xla.py:785(copy_to_host_async)
     1005    0.001    0.000    0.002    0.000 linear_util.py:175(transformation)
      400    0.001    0.000    0.001    0.000 _ufunc_config.py:139(geterr)
      400    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.generic' objects}
     1000    0.001    0.000    0.001    0.000 api.py:145(<listcomp>)
      255    0.001    0.000    0.001    0.000 std.py:91(release)
      493    0.001    0.000    0.001    0.000 pprint_util.py:32(__rshift__)
      255    0.001    0.000    0.001    0.000 std.py:87(acquire)
      660    0.001    0.000    0.001    0.000 pprint_util.py:49(pp)
      252    0.001    0.000    0.141    0.001 std.py:303(print_status)
      130    0.001    0.000    0.012    0.000 lax.py:1692(standard_abstract_eval)
     1264    0.001    0.000    0.001    0.000 threading.py:1038(_wait_for_tstate_lock)
     3003    0.001    0.000    0.001    0.000 api_util.py:82(<genexpr>)
      100    0.001    0.000    0.001    0.000 {method 'outer' of 'numpy.ufunc' objects}
      254    0.001    0.000    0.002    0.000 iostream.py:322(_schedule_flush)
      100    0.001    0.000    0.001    0.000 flinalg.py:29(get_flinalg_funcs)
      100    0.001    0.000    0.005    0.000 numeric.py:2167(isclose)
     5292    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      300    0.001    0.000    0.001    0.000 lazy.py:115(eye)
      254    0.001    0.000    0.002    0.000 threading.py:499(__init__)
      100    0.001    0.000    0.004    0.000 index_tricks.py:956(diag_indices_from)
      303    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1011    0.001    0.000    0.001    0.000 iostream.py:93(_event_pipe)
      600    0.001    0.000    0.003    0.000 {method 'max' of 'numpy.ndarray' objects}
      600    0.000    0.000    0.010    0.000 <__array_function__ internals>:2(norm)
  481/479    0.000    0.000    0.002    0.000 core.py:438(__getattr__)
      400    0.000    0.000    0.009    0.000 xla.py:855(__array__)
      119    0.000    0.000    0.000    0.000 xla_client.py:743(SetOpMetadata)
